anime_id,anime_title,title_short,title_full,ncode,source_type,air_date,season,studio,genre_manual,tags_manual
slime_001,転生したらスライムだった件,転スラ,転生したらスライムだった件,N6316BN,narou,2018-10-02,2018Q4,8-bit,ファンタジー,転生 スライム 異世界 無双
rezero_001,Re:ゼロから始める異世界生活,リゼロ,Re:ゼロから始める異世界生活,N2267BE,narou,2016-04-04,2016Q2,WHITE FOX,ファンタジー,異世界 ループ 転生 死に戻り
mushoku_001,無職転生 〜異世界行ったら本気だす〜,無職転生,無職転生 〜異世界行ったら本気だす〜,N9669BK,narou,2021-01-11,2021Q1,スタジオバインド,ファンタジー,転生 異世界 魔法 成長
overlord_001,オーバーロード,オバロ,オーバーロード,N9468BK,narou,2015-07-07,2015Q3,マドハウス,ファンタジー,転生 ゲーム 骸骨 異世界
honzuki_001,本好きの下剋上,本好き,本好きの下剋上〜司書になるためには手段を選んでいられません〜,N4830BU,narou,2019-10-02,2019Q4,亜細亜堂,ファンタジー,転生 書物 成り上がり
kage_001,陰の実力者になりたくて！,陰実,陰の実力者になりたくて！,N0525HT,narou,2023-01-05,2023Q1,Nexus,ファンタジー,チート 異世界 主人公最強
kumo_001,蜘蛛ですが、何か？,蜘蛛,蜘蛛ですが、何か？,N7973BK,narou,2021-01-08,2021Q1,ミルパンセ,ファンタジー,転生 クモ 異世界 成長
hitoribocchi_001,ひとりぼっちの異世界攻略,ひとりぼっち,ひとりぼっちの異世界攻略,,narou,,,,,異世界 攻略
spyfamily_001,SPY×FAMILY,スパイファミリー,SPY×FAMILY,,other,2022-04-09,2022Q2,WIT STUDIO / CloverWorks,アクション,スパイ ファミリー コメディ
shingeki_001,進撃の巨人,進撃,進撃の巨人,,other,2013-04-07,2013Q2,WIT STUDIO,アクション,巨人 ダーク ファンタジー
chainsaw_001,チェンソーマン,チェンソーマン,チェンソーマン,,other,2022-10-11,2022Q4,MAPPA,アクション,デビルハンター ダーク
jujutsu_001,呪術廻戦,呪術,呪術廻戦,,other,2020-10-03,2020Q4,MAPPA,アクション,呪術 バトル
kimetsu_001,鬼滅の刃,鬼滅,鬼滅の刃,,other,2019-04-06,2019Q2,ufotable,アクション,鬼 剣士 大正
