date,ncode,cumulative_view,daily_view,bookmark_count,monthly_rank,weekly_rank,weekly_unique,all_point,all_hyoka_cnt,episode_count
2026-06-19,N1189MF,66584.0,,0.0,1.0,,,57474.0,6187.0,1.0
2026-06-19,N3126MF,58178.0,,0.0,2.0,,,38724.0,4208.0,43.0
2026-06-19,N6050MG,49440.0,,0.0,3.0,,,44924.0,5072.0,1.0
2026-06-19,N1602MG,48778.0,,0.0,4.0,,,45984.0,5279.0,1.0
2026-06-19,N6882MG,46336.0,,0.0,5.0,,,43012.0,4873.0,1.0
2026-06-19,N5398MG,43708.0,,0.0,6.0,,,36694.0,4117.0,5.0
2026-06-19,N0920MF,43372.0,,0.0,7.0,,,36964.0,4100.0,3.0
2026-06-19,N0412MF,41856.0,,0.0,8.0,,,38904.0,4435.0,1.0
2026-06-19,N8528MF,41766.0,,0.0,9.0,,,39728.0,4561.0,1.0
2026-06-19,N7272MD,42194.0,,0.0,10.0,,,38656.0,4439.0,1.0
2026-06-19,N2468MC,63546.0,,0.0,11.0,,,37368.0,4179.0,273.0
2026-06-19,N8883MC,40722.0,,0.0,12.0,,,37246.0,4145.0,1.0
2026-06-19,N3181MH,38598.0,,0.0,13.0,,,36206.0,4191.0,1.0
2026-06-19,N2591MG,38486.0,,0.0,14.0,,,36096.0,4136.0,1.0
2026-06-19,N2469MF,41014.0,,0.0,15.0,,,38238.0,4315.0,1.0
2026-06-19,N3623MH,37168.0,,0.0,16.0,,,34280.0,3825.0,1.0
2026-06-19,N3011MH,35990.0,,0.0,17.0,,,33720.0,3875.0,1.0
2026-06-19,N3445MG,35436.0,,0.0,18.0,,,33190.0,3895.0,1.0
2026-06-19,N5367MH,34398.0,,0.0,19.0,,,32670.0,3858.0,1.0
2026-06-19,N9517ME,34306.0,,0.0,20.0,,,32428.0,3674.0,1.0
2026-06-19,N9677MD,33410.0,,0.0,21.0,,,31416.0,3617.0,1.0
2026-06-19,N9282MG,33100.0,,0.0,22.0,,,31188.0,3628.0,1.0
2026-06-19,N4547MF,32904.0,,0.0,23.0,,,29218.0,3253.0,8.0
2026-06-19,N9856ME,35036.0,,0.0,24.0,,,32408.0,3695.0,1.0
2026-06-19,N8444MF,32670.0,,0.0,25.0,,,30542.0,3614.0,1.0
2026-06-19,N6871MD,33702.0,,0.0,26.0,,,31632.0,3655.0,1.0
2026-06-19,N9727MG,32506.0,,0.0,27.0,,,28438.0,3059.0,6.0
2026-06-19,N8222MH,33366.0,,0.0,28.0,,,31478.0,3666.0,1.0
2026-06-19,N9769MF,31920.0,,0.0,29.0,,,29844.0,3495.0,1.0
2026-06-19,N2240MH,31760.0,,0.0,30.0,,,27880.0,3029.0,12.0
2026-06-19,N9717MF,30642.0,,0.0,31.0,,,28748.0,3358.0,1.0
2026-06-19,N5498MC,30592.0,,0.0,32.0,,,28154.0,3213.0,1.0
2026-06-19,N6599MG,29138.0,,0.0,33.0,,,14826.0,1648.0,12.0
2026-06-19,N7620ME,28940.0,,0.0,34.0,,,27196.0,3126.0,1.0
2026-06-19,N6070MF,28512.0,,0.0,35.0,,,26234.0,2922.0,1.0
2026-06-19,N3541MH,27868.0,,0.0,36.0,,,25570.0,2863.0,1.0
2026-06-19,N9803LT,27764.0,,0.0,37.0,,,25788.0,2882.0,1.0
2026-06-19,N4241MI,31050.0,,0.0,38.0,,,29178.0,3351.0,1.0
2026-06-19,N5289MG,27256.0,,0.0,39.0,,,26006.0,3011.0,1.0
2026-06-19,N7983MF,26936.0,,0.0,40.0,,,25088.0,2826.0,1.0
2026-06-19,N8331MH,26520.0,,0.0,41.0,,,24960.0,2938.0,1.0
2026-06-19,N9431LU,26402.0,,0.0,42.0,,,25144.0,2903.0,1.0
2026-06-19,N9175MC,26504.0,,0.0,43.0,,,24858.0,2808.0,1.0
2026-06-19,N4768MF,26150.0,,0.0,44.0,,,24536.0,2830.0,1.0
2026-06-19,N0520ME,27184.0,,0.0,45.0,,,18208.0,2098.0,80.0
2026-06-19,N0585MH,26230.0,,0.0,46.0,,,24522.0,2777.0,1.0
2026-06-19,N4405MH,25902.0,,0.0,47.0,,,24574.0,2835.0,1.0
2026-06-19,N9599MF,25860.0,,0.0,48.0,,,24258.0,2863.0,1.0
