ncode,title,author,genre,tags,is_anime,anime_id,monthly_rank_latest,bookmark_count_latest,updated_at,weekly_unique_latest,all_point_latest,all_hyoka_cnt_latest,episode_count_latest,story,impression_cnt_latest,review_cnt_latest,length,global_point_latest,daily_point_latest,weekly_point_latest,monthly_point_latest,general_lastup,novel_updated_at,biggenre,is_isekai_tensei,is_isekai_tenni,is_completed
N1189MF,今世で勝ち組だった俺、娘にイケメン彼氏ができたと思ったら、王家に喧嘩を売られた,福嶋莉佳,201,異世界転生 BK小説大賞2 集英社小説大賞７ コミックルーム大賞 アイリスIF9大賞 ＥＳＮ大賞１１ なろうフェス2026 男主人公 西洋 ＥＳＮ大賞１０ 恋愛 おっさん コメディ 領地経営 リアルチート 家族愛,False,,822,4946,2026-08-31,0,62714,6755,1,"前世で独身のまま死んだ俺だったが、今世では妻と娘と息子を得て人生勝ち組だった。

ところがある日、愛娘レオノーラが「好きな方ができました」と告げる。

相手は王都で知り合った、身分も立場も置いて北方で生きたいという謎の好青年レオン。

娘の彼氏など認めたくない。
だが、爽やかで礼儀正しく、働き者で、しかも俺を尊敬してくる。

さらに、王都から届き始めた不穏な噂が、その穏やかな日々を少しずつ崩していく。

続編です。
『今世で勝ち組だった俺、娘の恋人が王子様だったので王家の喧嘩を買うことにした』
https://ncode.syosetu.com/n0443mh/",110,1,15801,72606,32,234,1870,,,2,1,0,0
N3126MF,【第四部開始】当て馬令嬢リベルタ〜転生喪女はゴーインニマイウェー〜,ジュレヌク,101,異世界転生 ギャグ ほのぼの 女主人公 学園 中世 チート 魔法 ハッピーエンド ゲーム 乙女ゲーム ざまぁ 商品開発 書籍化 コミカライズ,False,,510,11117,2026-08-31,0,47680,5179,78,"入学式の最中、リベルタは自分が乙女ゲームの当て馬令嬢である事を思い出した。
壇上には、将来彼女をゴミクズのように捨てる幼馴染のドS細マッチョ眼鏡男子のフレルトが新入生代表の挨拶で注目を集めている。
前世で彼女を重課金廃人にまで落した張本人から逃げることを決めたリベルタは、様々な人間と出会い、人間的成長を見せていく。
一方のフレルトは、リベルタが居なくなったことで徐々に順調だった生活に綻びが見えるようになった。
今更ながら、リベルタの存在価値を知り、利用しようと近づこうとするが、彼女の『お友達』が、それを許すはずもなかった。

これは、すっかり乙女ゲームなど忘れて日々を楽しむリベルタと彼女を守るためなら手段を選ばないお友達一同のオートマチック復讐劇。
そして、やっと出会えた本気で愛せる婚約者と結ばれるまでのお話。

※コミカライズ&amp;書籍化をさせて頂けることになりました。詳細などは折々活動報告に上げさせて頂きますので、そちらもお楽しみ頂けると嬉しいです。",361,0,242364,69914,54,370,3632,,,1,1,0,1
N6050MG,【コミカライズ決定】病弱な幼馴染みを優先する婚約者に「頑強なだけが取り柄」と言われたので、いっそのこと女騎士になろうとした結果,たぬちゃん,101,ギャグ 西洋 中世 ハッピーエンド 悪役令嬢 ラブコメ 異世界恋愛 溺愛 限りなく自滅に違い ざまあ 病弱 幼馴染み 熊鍋 一目惚れ SASUKE,False,,443,2954,2026-08-31,0,54050,6102,1,"彼女は病弱だからね。
頑強なだけが取り柄の君とは違う。
君なら一人でも大丈夫だろう？　

言い捨てるようにそう告げて、婚約者の背中は遠ざかって行く。
前から約束をしていたのに。
取り残されたカサンドーラは呟いた。

「私は頑強だけが取り柄ね……ならいっそのこと、女騎士にでもなってみようかしら」",93,0,10545,59956,98,920,4344,,,1,0,0,0
N1602MG,【書籍化進行中】夜会の受付嬢は見た。いや、見ていない。,Vou@書籍化進行中,101,女主人公 西洋 中世 職業もの ざまぁ 断罪 義妹 王太子 冤罪 台帳 記録,False,,,1557,2026-07-27,0.0,49214.0,5643.0,1.0,"※当作品は大幅加筆による書籍化進行中です。

夜会の受付嬢リネットの仕事は、来客の入退場を台帳に記録すること。

その夜、王太子の婚約者オフィーリア侯爵令嬢が、義妹を階段から突き落とし、さらに隣国使節と密会したとして断罪された。

けれど、リネットの台帳には残っていなかった。

オフィーリアが会場を出た記録が。

外套の返却記録もない。
馬車の呼び出し記録もない。
退場記録もない。

一方、事件直前に白銀の外套を受け取って外へ出たのは、義妹ロザリーの方だった。

その夜、王太子はリネットに命じる。

「オフィーリアが退場したと書け」

リネットは頷いた。
そして、正確に記録した。


翌朝の裁定で、勝ち誇る王太子の前で、受付嬢は台帳を読み上げる。

受付嬢など、誰も見ていない。
けれど受付嬢は、記録だけは間違えない。",20.0,0.0,6756.0,52328.0,54.0,212.0,1892.0,,,1.0,0.0,0.0,0.0
N6882MG,やってられない婚約破棄,あんど　もあ,302,ＢＷＫ大賞１ 婚約破棄 王子 侯爵令嬢 侍女 内乱,False,,924,1982,2026-08-31,0,48872,5522,1,"王立学園の卒業パーティーで、王子に婚約破棄を叫ばれた私。理由は私が侍女を虐待したから。王子の中では、侍女の隠された身分が公表されて私は断罪……の予定ですが、そうは行きません。

この作品はアルファポリスにも掲載しています。",68,0,5575,52822,24,304,1576,,,3,0,0,0
N5398MG,婚約解消された私とあなたのその後の話,宮澤,101,なろうフェス2026 女主人公 ハッピーエンド 婚約解消 恋愛 歩み寄り,False,,789,4182,2026-08-31,0,43186,4844,5,"王子に本命が出来たため婚約解消をすることとなったアデリア。その後彼女が新たに婚約を結ぶことになったのは、王子の本命となった令嬢の元婚約者、ルースだった。そんな2人の距離が近づくまでの話。
※ざまあ要素は薄いです。ご了承ください。
2026.6.3活動報告にてご感想へのお礼を書かせていただきました。まとめてのお礼になり申し訳ございません。",137,0,20701,51550,18,338,1966,,,1,0,0,0
N0920MF,【電子書籍化決定】「女に嫌われる女」について、もう少し考えた方がいい,ひつじ,101,女主人公 学園 お茶会 騎士 ざまぁ？,False,,929,3417,2026-08-31,0,40544,4501,3,第二王子殿下の婚約者・マリアベルは、『女に嫌われる女』を自称する女生徒に関わることになった。従妹のミュリエルも巻き込んで対応をするが、嫌われる要因がそれぞれ異なり……。,41,0,12910,47378,34,352,1566,,,1,0,0,0
N0412MF,婚約破棄の現場に居合わせたモブ令嬢ですが、その証言ひとつで王子の人生が終わりました,あうまる,201,女主人公 学園 ハッピーエンド 婚約破棄 ざまぁ 異世界恋愛 卒業パーティー 王子 公爵令嬢 男爵令嬢 モブ令嬢 証言 冤罪 断罪返し AI間接利用,False,,,1509,2026-07-06,0.0,39562.0,4508.0,1.0,"※6月9日より適用される「AI間接利用」に適応する作品です

王立学園の卒業記念舞踏会。
会場の隅で蜂蜜菓子を食べていた地味な子爵令嬢イルマは、第一王子エドガルドによる公爵令嬢クラリッサへの婚約破棄宣言に居合わせる。

王子は男爵令嬢メリナを庇い、クラリッサが彼女をいじめ、階段から突き落とし、奨学金の不正にまで関わったと断罪する。
そして証人として指名されたのは、目立たず逆らえないと思われていたイルマだった。

しかしイルマは、王子たちの期待とは違い、見たままの事実だけを淡々と証言する。
メリナの自作自演、側近による帳簿改竄、王子自身の不正への関与。
その証言と証拠により、断罪劇は一転して王子たちの破滅の場となる。

ただのモブ令嬢だと思われていたイルマの正体は、王立法務院の書記見習い。
彼女の正確すぎる証言ひとつで、第一王子の王位継承権は失われ、男爵令嬢の家も没落する。

目立ちたくなかっただけの令嬢が、ただ本当のことを言っただけで王子の人生を終わらせてしまう、婚約破棄ざまぁ短編。",38.0,1.0,8008.0,42580.0,24.0,128.0,1994.0,,,2.0,0.0,0.0,0.0
N8528MF,離縁されましたが、義理の息子が「いかないで」と泣くので困っています,百鬼清風【リブラノベル様より電子書籍発売中】,101,ほのぼの 女主人公 西洋 中世 ハッピーエンド 継母 子育て 家族愛 後妻 離縁 溺愛 令嬢 貴族,False,,,1172,2026-08-03,0.0,43762.0,5030.0,1.0,"伯爵令嬢セシリアは、子持ちの冷徹な侯爵アルフレッドへ嫁ぐ。夫婦として距離のある結婚だったが、亡き前妻の息子である五歳のノエルだけは、毎朝彼女を訪ねてきた。「いいこでないと、めいわくになります」と怯えるように笑う継子に、セシリアは少しずつ愛情を注いでいく。だが、周囲は「後妻が継子を支配している」と非難し、アルフレッドもまた、失うことを恐れるあまり離縁を口にしてしまう。傷ついたノエルは「セシリアさまのこになります」と涙を流し――不器用な父と、愛情を知らなかった幼子、そして新しい母が、本当の家族になっていくお話。
",14.0,0.0,8336.0,46106.0,30.0,212.0,1414.0,,,1.0,0.0,0.0,0.0
N7272MD,あなたがワインを浴びせた相手は、&quot;子爵令嬢&quot;じゃありませんわ,ばぅ @ネトコン受賞感謝,101,ＢＷＫ大賞１ BK小説大賞2 コミックルーム大賞 アイリスIF9大賞 なろうフェス2026 ギャグ 女主人公 ヒストリカル 悪役令嬢 ざまぁ どんでん返し 勘違い ミステリ風？ 伏線あり 春の異世恋推理’26,False,,,1883,2026-07-27,0.0,40422.0,4642.0,1.0,公爵令息の恋人と噂されている「ルリア・ラズベルン子爵令嬢」と勘違いされ、夜会でワインを浴びせられた私。でも残念、完全な人違いです。,39.0,0.0,11444.0,44188.0,28.0,258.0,1540.0,,,1.0,0.0,0.0,0.0
